エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,鹿島共同火力株式会社,60413,鹿島共同発電所,火力（ガス）,５号機,300000,計画外停止,停止・燃料制約,,2026/09/21 08:19,なし,,燃料調整のため,2026/09/22 02:15,added,outages_20260921_160310.csv,outages_20260922_042052.csv,22/09/2026 02:15,22/09/2026 04:20
東京,株式会社JERA,34027,袖ケ浦火力発電所,火力（ガス）,袖ケ浦４号,1000000,計画停止,停止・送電線等制約,,2026/09/22 19:00,あり,2026/09/23,系統作業 JEPX削除依頼中,2026/09/22 01:28,added,outages_20260921_160310.csv,outages_20260922_042052.csv,22/09/2026 01:28,22/09/2026 04:20
東京,株式会社JERA,34027,袖ケ浦火力発電所,火力（ガス）,袖ケ浦４号,1000000,計画停止,停止・送電線等制約,,2026/09/22 09:00,あり,2026/09/22,系統作業 JEPX削除依頼中,2026/09/22 01:27,added,outages_20260921_160310.csv,outages_20260922_042052.csv,22/09/2026 01:27,22/09/2026 04:20
東京,株式会社JERA,34029,富津火力発電所,火力（ガス）,富津１−２号,167000,計画停止,停止・送電線等制約,,2026/09/23 00:00,あり,2026/09/23,系統作業,2026/09/22 01:25,added,outages_20260921_160310.csv,outages_20260922_042052.csv,22/09/2026 01:25,22/09/2026 04:20
東京,株式会社JERA,34027,袖ケ浦火力発電所,火力（ガス）,袖ケ浦４号,1000000,計画停止,停止・送電線等制約,,2026/09/24 00:00,あり,2026/09/24,系統作業,2026/09/22 01:24,added,outages_20260921_160310.csv,outages_20260922_042052.csv,22/09/2026 01:24,22/09/2026 04:20
東京,株式会社JERA,34037,富津火力発電所,火力（ガス）,富津２−３号,162000,計画停止,停止・設備故障,,2026/09/21 16:30,なし,,起動不可に伴う停止,2026/09/22 01:21,added,outages_20260921_160310.csv,outages_20260922_042052.csv,22/09/2026 01:21,22/09/2026 04:20
東北,東北電力株式会社,29538,東北電力上越火力発電所１号機,火力（ガス）,１号機,599000,出力低下,低下・その他,121000,2026/09/23 19:30,あり,2026/09/23,最大低下量:546000[kW] 最小低下量:44000[kW] 解列カーブによる出力低下,2026/09/21 23:59,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 23:59,22/09/2026 04:20
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,4号機,350000,出力低下,低下・燃料制約,300000,2026/09/21 22:00,なし,,燃料制約 抑制最大量　300000kW 抑制最小量　260000kW,2026/09/21 23:45,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 23:45,22/09/2026 04:20
東京,株式会社JERA,330UQ,五井火力発電所,火力（ガス）,五井１号,780000,出力低下,低下・その他,230000,2026/09/21 16:25,あり,2026/09/21,タービン関連設備,2026/09/21 23:39,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 23:39,22/09/2026 04:20
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−２号,198000,出力低下,低下・送電線等制約,173546,2026/09/23 09:30,あり,2026/09/30,系統作業　　最大低下量：198000kW　　最小低下量：0kW　　制約量はTSOからの発電制約量（月間通知）に基づく,2026/09/21 18:11,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 18:11,22/09/2026 04:20
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−１号,198000,出力低下,低下・送電線等制約,95212,2026/09/23 09:00,あり,2026/09/30,系統作業　　最大低下量：198000kW　　最小低下量：0kW　　制約量はTSOからの発電制約量（月間通知）に基づく,2026/09/21 18:11,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 18:11,22/09/2026 04:20
中国,中国電力株式会社,72408,柳井発電所第１号系列上位,火力（ガス）,１−６号,131000,出力低下,低下・送電線等制約,35043,2026/09/23 07:30,あり,2026/09/30,系統作業　　最大低下量：131000kW　　最小低下量：0kW　　制約量はTSOからの発電制約量（月間通知）に基づく,2026/09/21 18:10,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 18:10,22/09/2026 04:20
中国,中国電力株式会社,72408,柳井発電所第１号系列上位,火力（ガス）,１−５号,131000,出力低下,低下・送電線等制約,35016,2026/09/23 07:30,あり,2026/09/30,系統作業　　最大低下量：131000kW　　最小低下量：0kW　　制約量はTSOからの発電制約量（月間通知）に基づく,2026/09/21 18:10,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 18:10,22/09/2026 04:20
中国,中国電力株式会社,72408,柳井発電所第１号系列上位,火力（ガス）,１−２号,131000,出力低下,低下・送電線等制約,38263,2026/09/23 07:30,あり,2026/09/30,系統作業　　最大低下量：131000kW　　最小低下量：0kW　　制約量はTSOからの発電制約量（月間通知）に基づく,2026/09/21 18:09,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 18:09,22/09/2026 04:20
中国,中国電力株式会社,74104,南原発電所,水力,２号機,310000,出力低下,低下・送電線等制約,288375,2026/09/23 07:30,あり,2026/09/23,系統作業　　最大低下量：310000kW　　最小低下量：40000kW　　平均低下量：288375kW,2026/09/21 16:45,added,outages_20260921_160310.csv,outages_20260922_042052.csv,21/09/2026 16:45,22/09/2026 04:20
