エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
沖縄,沖縄電力株式会社,00102,吉の浦2号,火力（ガス）,2号機,251000,計画停止,停止・設備故障,,2025/05/03 00:00,あり,2025/05/08,ボイラ関連設備不具合,2025/05/02 16:26,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:26,02/05/2025 16:30
沖縄,沖縄電力株式会社,00101,吉の浦1号,火力（ガス）,1号機,251000,計画停止,停止・設備故障,,2025/05/02 03:50,あり,2025/05/02,タービン関連不具合調査,2025/05/02 16:25,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:25,02/05/2025 16:30
中国,ENEOS株式会社,400977C645,水島製油所　B工場,その他,G8,112400,計画停止,停止・燃料制約,,2025/04/30 15:00,あり,2025/05/08,ボイラー燃料精製装置停止により,2025/05/02 16:25,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:25,02/05/2025 16:30
中国,中国電力株式会社,74104,南原発電所,水力,２号機,310000,出力低下,低下・送電線等制約,67833,2025/05/04 11:00,あり,2025/05/04,系統作業  最大低下量：96000kW  最小低下量：1000kW  平均低下量：67833kW,2025/05/02 16:24,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:24,02/05/2025 16:30
中国,中国電力株式会社,72408,柳井発電所第１号系列上位,火力（ガス）,１−６号,131000,出力低下,低下・送電線等制約,127714,2025/05/04 10:30,あり,2025/05/04,系統作業  最大低下量：131000kW  最小低下量：108000kW  平均低下量：127714kW,2025/05/02 16:24,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:24,02/05/2025 16:30
中国,中国電力株式会社,71203,新小野田発電所第２号機,火力（石炭）,２号機,500000,出力低下,低下・送電線等制約,445611,2025/05/04 07:00,あり,2025/05/04,系統作業  最大低下量：500000kW  最小低下量：154000kW  平均低下量：445611kW,2025/05/02 16:24,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:24,02/05/2025 16:30
中国,中国電力株式会社,71202,新小野田発電所第１号機,火力（石炭）,１号機,500000,出力低下,低下・送電線等制約,330875,2025/05/04 07:30,あり,2025/05/04,系統作業  最大低下量：500000kW  最小低下量：0000kW  平均低下量：330875kW,2025/05/02 16:24,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:24,02/05/2025 16:30
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・送電線等制約,616542,2025/05/04 00:00,あり,2025/05/04,系統作業  最大低下量：1000000kW  最小低下量：0000kW  平均低下量：616542kW,2025/05/02 16:24,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:24,02/05/2025 16:30
中国,中国電力株式会社,71202,新小野田発電所第１号機,火力（石炭）,１号機,500000,計画停止,停止・設備故障,,2025/05/03 00:00,なし,,ボイラ設備故障,2025/05/02 16:20,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:20,02/05/2025 16:30
関西,関西電力株式会社,63D03,大河内発電所,水力,４号機,320000,計画停止,停止・設備故障,,2025/05/09 10:00,あり,2025/05/09,発電機作業,2025/05/02 16:03,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 16:03,02/05/2025 16:30
関西,関西電力株式会社,63D03,大河内発電所,水力,２号機,320000,計画停止,停止・その他,,9999/05/07 09:00,あり,9999/05/09,試運転,2025/05/02 15:59,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:59,02/05/2025 16:30
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,3号機,350000,計画外停止,停止・設備故障,,2025/04/17 23:45,あり,2025/05/10,設備不具合,2025/05/02 15:58,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:58,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,３号機,201000,計画停止,停止・設備故障,,9999/05/28 10:00,あり,9999/05/28,発電機作業,2025/05/02 15:35,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:35,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,１号機,201000,計画停止,停止・設備故障,,9999/05/22 09:00,あり,9999/05/22,発電機作業,2025/05/02 15:34,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:34,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,２号機,201000,計画停止,停止・設備故障,,9999/05/22 09:00,あり,9999/05/22,発電機作業,2025/05/02 15:33,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:33,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,１号機,201000,計画停止,停止・設備故障,,9999/05/20 09:00,あり,9999/05/20,発電機作業,2025/05/02 15:32,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:32,02/05/2025 16:30
東北,常磐共同火力株式会社,606622S318,勿来発電所,火力（石炭）,勿来9号機（東北系）,600000,出力低下,低下・その他,318000,2025/05/18 19:00,あり,2025/05/19,系統切替  最大低下量：600000kW  最小低下量：200000kW,2025/05/02 15:31,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:31,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,２号機,201000,計画停止,停止・設備故障,,9999/05/20 09:00,あり,9999/05/20,発電機作業,2025/05/02 15:31,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:31,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,３号機,201000,計画停止,停止・設備故障,,9999/05/20 09:00,あり,9999/05/20,発電機作業,2025/05/02 15:31,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:31,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,３号機,201000,計画停止,停止・設備故障,,9999/05/19 09:00,あり,9999/05/19,発電機作業,2025/05/02 15:30,added,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
沖縄,沖縄電力株式会社,00102,吉の浦2号,火力（ガス）,2号機,251000,計画停止,停止・設備故障,,2025/05/03 00:00,あり,2025/05/04,ボイラ関連設備不具合,2025/05/02 09:29,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
沖縄,沖縄電力株式会社,00101,吉の浦1号,火力（ガス）,1号機,251000,計画停止,停止・設備故障,,2025/05/02 03:50,あり,2025/05/03,タービン関連不具合調査,2025/05/02 09:27,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
中国,ENEOS株式会社,400977C645,水島製油所　B工場,その他,G8,112400,計画停止,停止・燃料制約,,2025/04/30 15:00,なし,,ボイラー燃料精製装置停止により,2025/04/28 20:31,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,3号機,350000,計画外停止,停止・設備故障,,2025/04/17 23:45,あり,2025/05/08,設備不具合,2025/04/25 11:12,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,３号機,201000,計画停止,停止・設備故障,,2025/05/28 10:00,あり,2025/05/28,発電機作業,2025/02/26 13:10,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
関西,関西電力株式会社,63D03,大河内発電所,水力,２号機,320000,計画停止,停止・その他,,2025/05/07 09:00,あり,2025/05/09,試運転,2025/02/13 10:52,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,３号機,201000,計画停止,停止・設備故障,,2025/05/19 09:00,あり,2025/05/19,発電機作業,2024/03/04 19:53,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,３号機,201000,計画停止,停止・設備故障,,2025/05/20 09:00,あり,2025/05/20,発電機作業,2024/03/04 19:53,removed,outages_20250502_153027.csv,outages_20250502_163030.csv,02/05/2025 15:30,02/05/2025 16:30
