エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,331RJ,五井火力発電所,火力（ガス）,五井３号,780000,計画停止,停止・定期検査等,,2026/09/20 00:00,あり,2026/11/07,定検 JERA内管理ID: E26006501,2026/01/16 15:26,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:26,16/01/2026 15:27
東京,株式会社JERA,331D8,五井火力発電所,火力（ガス）,五井２号,780000,計画停止,停止・定期検査等,,2026/05/08 00:00,あり,2026/06/25,定検 JERA内管理ID: E26006201,2026/01/16 15:25,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:25,16/01/2026 15:27
東京,株式会社JERA,328XY,横須賀火力発電所,火力（石炭）,横須賀２号,650000,計画停止,停止・定期検査等,,2026/06/09 02:05,あり,2026/06/23,タービン関連設備 JERA内管理ID: E26042201,2026/01/16 15:24,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:24,16/01/2026 15:27
東京,株式会社JERA,328RU,姉崎火力発電所,火力（ガス）,姉崎新３号,646900,計画停止,停止・定期検査等,,2026/06/14 09:00,あり,2026/06/21,電気関連設備 JERA内管理ID: E26073901,2026/01/16 15:23,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:23,16/01/2026 15:27
東京,株式会社JERA,34078,鹿島火力発電所,火力（ガス）,鹿島７−３号,420000,計画停止,停止・定期検査等,,2026/05/17 22:00,あり,2026/05/22,タービン関連設備 JERA内管理ID: E26061101,2026/01/16 15:23,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:23,16/01/2026 15:27
東京,株式会社JERA,34077,鹿島火力発電所,火力（ガス）,鹿島７−２号,420000,計画停止,停止・定期検査等,,2026/06/16 22:00,あり,2026/06/21,タービン関連設備 JERA内管理ID: E26061001,2026/01/16 15:22,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:22,16/01/2026 15:27
沖縄,沖縄電力株式会社,05302,石川2号,火力（石油）,2号機,125000,計画停止,停止・送電線等制約,,2026/01/29 09:00,あり,2026/01/29,系統作業,2026/01/16 15:21,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:21,16/01/2026 15:27
東京,株式会社JERA,34092,常陸那珂火力発電所,火力（石炭）,常陸那珂２号,1000000,計画停止,停止・定期検査等,,2026/10/26 00:00,あり,2026/11/15,タービン関連設備 JERA内管理ID: E26018301,2026/01/16 15:21,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:21,16/01/2026 15:27
東京,株式会社JERA,34092,常陸那珂火力発電所,火力（石炭）,常陸那珂２号,1000000,計画停止,停止・定期検査等,,2026/04/06 00:00,あり,2026/04/26,タービン関連設備 JERA内管理ID: E26016401,2026/01/16 15:20,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:20,16/01/2026 15:27
東京,株式会社JERA,34091,常陸那珂火力発電所,火力（石炭）,常陸那珂１号,1000000,計画停止,停止・定期検査等,,2026/05/11 00:00,あり,2026/05/31,タービン関連設備 JERA内管理ID: E26016601,2026/01/16 15:20,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:20,16/01/2026 15:27
東北,東北電力株式会社,2V403,東北電力東新潟火力発電所４号系列,火力（ガス）,４−１号機ＳＴ,280300,出力低下,低下・その他,140000,2026/01/17 00:00,あり,2026/01/21,最大低下量　140000kW 最小低下量　140000kW 4-1GT作業停止に伴う出力低下,2026/01/16 15:19,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:19,16/01/2026 15:27
東京,株式会社JERA,34084,品川火力発電所,火力（ガス）,品川１−３号,380000,計画停止,停止・定期検査等,,2026/12/12 00:00,あり,2026/12/14,タービン関連設備 JERA内管理ID: E26037801,2026/01/16 15:19,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:19,16/01/2026 15:27
東京,株式会社JERA,34082,品川火力発電所,火力（ガス）,品川１−１号,380000,計画停止,停止・定期検査等,,2026/12/05 00:00,あり,2026/12/07,タービン関連設備 JERA内管理ID: E26037701,2026/01/16 15:18,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:18,16/01/2026 15:27
東北,東北電力株式会社,2V403,東北電力東新潟火力発電所４号系列,火力（ガス）,４−１号機ＧＴＢ,298800,出力低下,低下・設備故障,179000,2026/01/16 11:35,あり,2026/01/16,設備不具合による低下 最大低下量：179000kW 最小低下量：179000kW,2026/01/16 15:17,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:17,16/01/2026 15:27
東京,株式会社JERA,34069,東扇島火力発電所,火力（ガス）,東扇島２号,1000000,計画停止,停止・定期検査等,,2026/05/29 22:00,あり,2026/06/07,タービン関連設備 JERA内管理ID: E26057901,2026/01/16 15:17,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:17,16/01/2026 15:27
東北,東北電力株式会社,2V403,東北電力東新潟火力発電所４号系列,火力（ガス）,４−１号機ＧＴＢ,298800,計画停止,停止・その他,,2026/01/17 00:00,あり,2026/01/21,作業による停止,2026/01/16 15:16,added,outages_20260116_150520.csv,outages_20260116_152700.csv,16/01/2026 15:16,16/01/2026 15:27
