エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・設備故障,451000,2026/07/19 00:00,あり,2026/07/19,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:39,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:39,06/01/2026 16:40
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・設備故障,451000,2026/07/18 00:00,あり,2026/07/18,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:38,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:38,06/01/2026 16:40
関西,関西電力株式会社,63D41,舞鶴発電所,火力（石炭）,１号機,900000,出力低下,低下・設備故障,495000,2026/07/12 00:00,あり,2026/07/12,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:37,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:37,06/01/2026 16:40
関西,関西電力株式会社,63D41,舞鶴発電所,火力（石炭）,１号機,900000,出力低下,低下・設備故障,473000,2026/07/11 00:00,あり,2026/07/11,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:36,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:36,06/01/2026 16:40
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・設備故障,473000,2026/05/24 00:00,あり,2026/05/24,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:35,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:35,06/01/2026 16:40
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・設備故障,473000,2026/05/23 00:00,あり,2026/05/23,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:33,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:33,06/01/2026 16:40
関西,関西電力株式会社,63D41,舞鶴発電所,火力（石炭）,１号機,900000,出力低下,低下・設備故障,473000,2026/05/17 00:00,あり,2026/05/17,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:32,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:32,06/01/2026 16:40
関西,関西電力株式会社,63D41,舞鶴発電所,火力（石炭）,１号機,900000,出力低下,低下・設備故障,473000,2026/05/16 00:00,あり,2026/05/16,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2026/01/06 16:30,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:30,06/01/2026 16:40
北海道,北海道パワーエンジニアリング株式会社,10216,北海道ﾊﾟﾜｰｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社　苫小牧共同火力発電所3G,火力（石油）,単独,250000,計画外停止,停止・設備故障,,2025/12/30 11:39,あり,2026/01/09,燃料油漏洩に伴う停止,2026/01/06 16:29,added,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:29,06/01/2026 16:40
北海道,北海道パワーエンジニアリング株式会社,10216,北海道ﾊﾟﾜｰｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社　苫小牧共同火力発電所3G,火力（石油）,単独,250000,計画外停止,停止・設備故障,,2025/12/30 11:39,なし,,燃料油漏洩に伴う停止,2025/12/30 12:06,removed,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:27,06/01/2026 16:40
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・設備故障,451000,2026/07/18 00:00,あり,2026/07/19,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2025/02/17 14:16,removed,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:27,06/01/2026 16:40
関西,関西電力株式会社,63D41,舞鶴発電所,火力（石炭）,１号機,900000,出力低下,低下・設備故障,473000,2026/07/11 00:00,あり,2026/07/12,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2025/02/17 14:15,removed,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:27,06/01/2026 16:40
関西,関西電力株式会社,63D41,舞鶴発電所,火力（石炭）,１号機,900000,出力低下,低下・設備故障,473000,2026/05/16 00:00,あり,2026/05/17,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2025/02/17 14:14,removed,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:27,06/01/2026 16:40
関西,関西電力株式会社,63D42,舞鶴発電所,火力（石炭）,２号機,900000,出力低下,低下・設備故障,473000,2026/05/23 00:00,あり,2026/05/24,発電機作業 最大低下量：495000(kW) 最小低下量：450000(kW),2025/02/17 14:13,removed,outages_20260106_162712.csv,outages_20260106_164001.csv,06/01/2026 16:27,06/01/2026 16:40
