エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,34009,千葉火力発電所,火力（ガス）,千葉３−１号,500000,計画停止,停止・設備故障,,2026/02/21 00:00,あり,2026/02/26,タービン関連設備,2026/02/26 12:20,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 12:20,26/02/2026 12:24
東北,東北電力株式会社,2T406,第二沼沢発電所,水力,１号機,230000,計画停止,停止・その他,,2026/03/05 09:00,あり,2026/03/05,作業停止,2026/02/26 11:52,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:52,26/02/2026 12:24
東京,株式会社JERA,34092,常陸那珂火力発電所,火力（石炭）,常陸那珂２号,1000000,出力低下,低下・設備故障,700000,2026/02/26 11:50,なし,,ボイラ関連設備,2026/02/26 11:52,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:52,26/02/2026 12:24
東北,東北電力株式会社,2T406,第二沼沢発電所,水力,１号機,230000,計画停止,停止・その他,,2026/03/03 09:00,あり,2026/03/03,作業停止,2026/02/26 11:51,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:51,26/02/2026 12:24
北陸,関西電力株式会社,60C10,下小鳥発電所,水力,単独,142000,計画停止,停止・設備故障,,2026/05/15 09:00,あり,2026/05/21,発電機作業,2026/02/26 11:33,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:33,26/02/2026 12:24
北陸,関西電力株式会社,60C10,下小鳥発電所,水力,単独,142000,計画停止,停止・定期検査等,,2026/05/14 14:00,あり,2026/05/29,定期検査,2026/02/26 11:31,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:31,26/02/2026 12:24
関西,関西電力株式会社,68C43,姫路第二発電所,火力（ガス）,３号機,486500,出力低下,低下・送電線等制約,151000,2026/03/12 17:00,あり,2026/03/15,TSO作業 最大低下量：264000(kW) 最小低下量：222000(kW),2026/02/26 11:30,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:30,26/02/2026 12:24
北陸,関西電力株式会社,60C10,下小鳥発電所,水力,単独,142000,計画停止,停止・設備故障,,9999/05/22 09:00,あり,9999/05/22,発電機作業,2026/02/26 11:26,added,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:26,26/02/2026 12:24
関西,関西電力株式会社,68C43,姫路第二発電所,火力（ガス）,３号機,486500,出力低下,低下・送電線等制約,207000,2026/03/09 07:00,あり,2026/03/15,TSO作業 最大低下量：264000(kW) 最小低下量：222000(kW),2026/02/25 09:46,removed,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:24,26/02/2026 12:24
東京,株式会社JERA,34009,千葉火力発電所,火力（ガス）,千葉３−１号,500000,計画停止,停止・設備故障,,2026/02/21 00:00,あり,2026/03/01,タービン関連設備,2026/02/02 17:07,removed,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:24,26/02/2026 12:24
北陸,関西電力株式会社,60C10,下小鳥発電所,水力,単独,142000,計画停止,停止・定期検査等,,2026/05/21 09:00,あり,2026/05/29,定期検査,2025/02/17 15:26,removed,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:24,26/02/2026 12:24
北陸,関西電力株式会社,60C10,下小鳥発電所,水力,単独,142000,計画停止,停止・設備故障,,2026/05/22 09:00,あり,2026/05/22,発電機作業,2025/02/13 17:29,removed,outages_20260226_112448.csv,outages_20260226_122411.csv,26/02/2026 11:24,26/02/2026 12:24
