エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
関西,姫路天然ガス発電株式会社,6853J,姫路天然ガス発電所,火力（ガス）,1号機,622600,出力低下,低下・送電線等制約,71600,2026/03/12 17:00,あり,2026/03/15,系統作業 最大低下量：143200 kW／最小低下量：0kW／平均低下量：71600kW,2026/02/26 19:32,added,outages_20260226_190546.csv,outages_20260226_193401.csv,26/02/2026 19:32,26/02/2026 19:34
東京,株式会社コベルコパワー真岡,325RY,真岡発電所,火力（ガス）,2号機,624100,計画外停止,停止・その他,,2026/02/25 05:30,あり,2026/02/27,GT計装不具合,2026/02/26 19:18,added,outages_20260226_190546.csv,outages_20260226_193401.csv,26/02/2026 19:18,26/02/2026 19:34
関西,関西電力株式会社,65C00,奥吉野発電所,水力,１号機,201000,計画停止,停止・その他,,9999/05/13 16:00,あり,9999/05/13,試運転,2026/02/26 19:05,added,outages_20260226_190546.csv,outages_20260226_193401.csv,26/02/2026 19:05,26/02/2026 19:34
東京,株式会社コベルコパワー真岡,325RY,真岡発電所,火力（ガス）,2号機,624100,計画外停止,停止・その他,,2026/02/25 05:30,あり,2026/02/26,GT計装不具合,2026/02/25 17:41,removed,outages_20260226_190546.csv,outages_20260226_193401.csv,26/02/2026 19:05,26/02/2026 19:34
関西,関西電力株式会社,65C00,奥吉野発電所,水力,１号機,201000,計画停止,停止・その他,,2026/05/13 16:00,あり,2026/05/13,試運転,2025/02/19 10:31,removed,outages_20260226_190546.csv,outages_20260226_193401.csv,26/02/2026 19:05,26/02/2026 19:34
