エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
中部,中部電力(株),41002,奥美濃発電所,水力,２号機,250000,計画停止,停止・定期検査等,,2026/04/11 09:00,あり,2026/05/01,作業,2026/02/18 17:30,added,outages_20260218_170407.csv,outages_20260218_173132.csv,18/02/2026 17:30,18/02/2026 17:31
中部,中部電力(株),41002,奥美濃発電所,水力,１号機,250000,計画停止,停止・定期検査等,,2026/04/11 09:00,あり,2026/05/01,作業,2026/02/18 17:29,added,outages_20260218_170407.csv,outages_20260218_173132.csv,18/02/2026 17:29,18/02/2026 17:31
中部,中部電力(株),43002,馬瀬川第一発電所,水力,２号機,144000,計画停止,停止・定期検査等,,2026/04/04 09:00,あり,2026/04/06,作業,2026/02/18 17:26,added,outages_20260218_170407.csv,outages_20260218_173132.csv,18/02/2026 17:26,18/02/2026 17:31
