エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,34090,広野火力発電所,火力（石炭）,広野６号,600000,出力低下,低下・設備故障,200000,2026/06/15 18:30,あり,2026/06/16,燃料関連設備 平均低下量：200000kW,2026/06/16 02:17,added,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 02:17,16/06/2026 03:40
東京,株式会社JERA,34089,広野火力発電所,火力（石炭）,広野５号,600000,出力低下,低下・設備故障,200000,2026/06/15 18:30,あり,2026/06/16,燃料関連設備 平均低下量：200000kW,2026/06/16 02:17,added,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 02:17,16/06/2026 03:40
東北,東北電力株式会社,2U308,東北電力原町火力発電所１号機,火力（石炭）,１号機,1000000,計画停止,停止・設備故障,,2026/05/23 21:00,なし,,ボイラー関連設備の不具合,2026/06/16 02:16,added,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 02:16,16/06/2026 03:40
東北,東北電力株式会社,2U308,東北電力原町火力発電所１号機,火力（石炭）,１号機,1000000,出力低下,低下・設備故障,580000,9999/06/17 10:00,あり,9999/07/31,最大低下量：970000kW 最小低下量：0kW ボイラー関連設備の不具合,2026/06/16 02:15,added,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 02:15,16/06/2026 03:40
東北,東北電力株式会社,2U309,東北電力原町火力発電所２号機,火力（石炭）,２号機,1000000,出力低下,低下・設備故障,550000,2026/06/12 07:30,あり,2026/06/16,最大低下量：980000kW 最小低下量：0kW ボイラー関連設備の不具合,2026/06/16 02:11,added,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 02:11,16/06/2026 03:40
東北,東北電力株式会社,2U309,東北電力原町火力発電所２号機,火力（石炭）,２号機,1000000,計画停止,停止・その他,,2026/06/16 03:10,なし,,ボイラ設備不具合,2026/06/16 02:08,added,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 02:08,16/06/2026 03:40
東京,株式会社JERA,34090,広野火力発電所,火力（石炭）,広野６号,600000,出力低下,低下・設備故障,200000,2026/06/15 18:30,なし,,燃料関連設備 平均低下量：200000kW,2026/06/15 18:09,removed,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 01:59,16/06/2026 03:40
東京,株式会社JERA,34089,広野火力発電所,火力（石炭）,広野５号,600000,出力低下,低下・設備故障,200000,2026/06/15 18:30,なし,,燃料関連設備 平均低下量：200000kW,2026/06/15 18:08,removed,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 01:59,16/06/2026 03:40
東北,東北電力株式会社,2U309,東北電力原町火力発電所２号機,火力（石炭）,２号機,1000000,出力低下,低下・設備故障,550000,2026/06/12 07:30,あり,2026/07/31,最大低下量：980000kW 最小低下量：0kW ボイラー関連設備の不具合,2026/06/12 11:58,removed,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 01:59,16/06/2026 03:40
東北,東北電力株式会社,2U308,東北電力原町火力発電所１号機,火力（石炭）,１号機,1000000,出力低下,低下・設備故障,580000,2026/06/17 10:00,あり,2026/07/31,最大低下量：970000kW 最小低下量：0kW ボイラー関連設備の不具合,2026/06/12 11:57,removed,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 01:59,16/06/2026 03:40
東北,東北電力株式会社,2U308,東北電力原町火力発電所１号機,火力（石炭）,１号機,1000000,計画停止,停止・設備故障,,2026/05/23 21:00,あり,2026/06/17,ボイラー関連設備の不具合,2026/06/12 11:55,removed,outages_20260616_015938.csv,outages_20260616_034055.csv,16/06/2026 01:59,16/06/2026 03:40
