エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,34026,袖ケ浦火力発電所,火力（ガス）,袖ケ浦３号,1000000,出力低下,低下・送電線等制約,216000,2025/11/15 00:00,あり,2025/11/21,系統作業		 平均	216000kW 最大	456000kW 最小	0kW,2025/11/16 18:24,added,outages_20251116_181002.csv,outages_20251116_182723.csv,16/11/2025 18:24,16/11/2025 18:27
東京,株式会社JERA,34025,袖ケ浦火力発電所,火力（ガス）,袖ケ浦２号,1000000,出力低下,低下・送電線等制約,216000,2025/11/15 00:00,あり,2025/11/21,系統作業		 平均	216000kW 最大	456000kW 最小	0kW,2025/11/16 18:24,added,outages_20251116_181002.csv,outages_20251116_182723.csv,16/11/2025 18:24,16/11/2025 18:27
東京,株式会社JERA,34026,袖ケ浦火力発電所,火力（ガス）,袖ケ浦３号,1000000,出力低下,低下・送電線等制約,228000,2025/11/15 00:00,あり,2025/11/21,系統作業		 平均	228000kW 最大	499000kW 最小	0kW,2025/11/14 22:41,removed,outages_20251116_181002.csv,outages_20251116_182723.csv,16/11/2025 18:10,16/11/2025 18:27
東京,株式会社JERA,34025,袖ケ浦火力発電所,火力（ガス）,袖ケ浦２号,1000000,出力低下,低下・送電線等制約,228000,2025/11/15 00:00,あり,2025/11/21,系統作業		 平均	228000kW 最大	499000kW 最小	0kW,2025/11/14 22:40,removed,outages_20251116_181002.csv,outages_20251116_182723.csv,16/11/2025 18:10,16/11/2025 18:27
