エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,広野ＩＧＣＣパワー合同会社,327W1,広野ＩＧＣＣ発電所,火力（石炭）,単独,543000,計画停止,停止・定期検査等,,2025/09/27 00:00,あり,2025/11/28,定期点検,2025/08/14 09:45,added,outages_20250814_093030.csv,outages_20250814_103029.csv,14/08/2025 09:45,14/08/2025 10:30
沖縄,沖縄電力株式会社,05001,牧港9号,火力（石油）,9号機,125000,計画外停止,停止・設備故障,,2025/08/14 09:00,なし,,ボイラ関連設備不具合,2025/08/14 09:40,added,outages_20250814_093030.csv,outages_20250814_103029.csv,14/08/2025 09:40,14/08/2025 10:30
東京,広野ＩＧＣＣパワー合同会社,327W1,広野ＩＧＣＣ発電所,火力（石炭）,単独,543000,計画停止,停止・定期検査等,,2025/09/27 00:00,あり,2025/11/06,定期点検,2025/06/13 17:53,removed,outages_20250814_093030.csv,outages_20250814_103029.csv,14/08/2025 09:30,14/08/2025 10:30
