エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
沖縄,沖縄電力株式会社,09202,金武2号,火力（石炭）,2号機,220000,出力低下,低下・設備故障,110000,2025/08/26 00:00,あり,2025/08/31,排煙脱硫装置関連設備(吸収液循環ポンプ)不具合補修,2025/08/05 11:45,added,outages_20250805_113029.csv,outages_20250805_123031.csv,05/08/2025 11:45,05/08/2025 12:30
沖縄,沖縄電力株式会社,09202,金武2号,火力（石炭）,2号機,220000,計画停止,停止・設備故障,,2025/08/26 00:00,あり,2025/09/01,排煙脱硫装置関連設備不具合補修,2025/08/05 11:34,added,outages_20250805_113029.csv,outages_20250805_123031.csv,05/08/2025 11:34,05/08/2025 12:30
東京,株式会社JERA,34066,南横浜火力発電所,火力（ガス）,南横浜２号,350000,出力低下,低下・送電線等制約,156000,2025/08/11 05:00,あり,2025/08/31,系統作業  平均低下量: 156000kW  最大低下量: 228000kW  最小低下量: 30000kW,2025/08/05 11:34,added,outages_20250805_113029.csv,outages_20250805_123031.csv,05/08/2025 11:34,05/08/2025 12:30
東京,株式会社JERA,34027,袖ケ浦火力発電所,火力（ガス）,袖ケ浦４号,1000000,出力低下,低下・設備故障,250000,2025/08/05 13:30,あり,2025/09/16,タービン関連設備,2025/08/05 11:31,added,outages_20250805_113029.csv,outages_20250805_123031.csv,05/08/2025 11:31,05/08/2025 12:30
東京,株式会社JERA,34066,南横浜火力発電所,火力（ガス）,南横浜２号,350000,出力低下,低下・送電線等制約,155586,2025/08/11 05:00,あり,2025/08/31,系統作業  平均低下量: 155586kW  最大低下量: 227728kW  最小低下量: 30792kW,2025/07/14 17:35,removed,outages_20250805_113029.csv,outages_20250805_123031.csv,05/08/2025 11:30,05/08/2025 12:30
