エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,328RV,姉崎火力発電所,火力（ガス）,姉崎新２号,646900,出力低下,低下・送電線等制約,257000,2025/10/13 09:00,あり,2025/10/17,系統作業  平均低下量：257000kW  最大低下量：290000kW  最小低下量：211000kW,2025/10/09 18:27,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 18:27,09/10/2025 18:30
北陸,北陸電力株式会社,52316,北陸電力 富山新港火力発電所,火力（石炭）,石炭2号機,250000,計画停止,停止・その他,,2025/10/11 02:00,あり,2025/10/14,GHG排出量制約,2025/10/09 18:14,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 18:14,09/10/2025 18:30
北陸,北陸電力株式会社,52315,北陸電力 富山新港火力発電所,火力（石炭）,石炭1号機,250000,出力低下,低下・その他,148550,2025/10/12 00:00,あり,2025/10/13,GHG排出量抑制  平均低下量：148550kW  最大低下量：150000kW  最低低下量：  79167kW,2025/10/09 18:07,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 18:07,09/10/2025 18:30
東京,株式会社JERA,34083,品川火力発電所,火力（ガス）,品川１−２号,380000,計画停止,低下・送電線等制約,,2025/10/11 00:00,あり,2025/10/17,系統作業  平均低下量：119000kW  最大低下量：150000kW  最小低下量：81000kW,2025/10/09 17:38,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:38,09/10/2025 18:30
東京,株式会社JERA,34082,品川火力発電所,火力（ガス）,品川１−１号,380000,計画停止,低下・送電線等制約,,2025/10/11 00:00,あり,2025/10/17,系統作業  平均低下量：119000kW  最大低下量：150000kW  最小低下量：81000kW,2025/10/09 17:36,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:36,09/10/2025 18:30
東京,株式会社JERA,34004,千葉火力発電所,火力（ガス）,千葉１−４号,360000,計画停止,停止・送電線等制約,,2025/10/13 20:30,あり,2025/10/17,系統作業,2025/10/09 17:34,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:34,09/10/2025 18:30
東京,株式会社JERA,34004,千葉火力発電所,火力（ガス）,千葉１−４号,360000,計画停止,停止・送電線等制約,,2025/10/13 09:00,あり,2025/10/13,系統作業,2025/10/09 17:32,added,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:32,09/10/2025 18:30
北陸,北陸電力株式会社,52316,北陸電力 富山新港火力発電所,火力（石炭）,石炭2号機,250000,出力低下,低下・その他,148550,2025/10/12 00:00,あり,2025/10/13,GHG排出量制約  平均低下量：148550kW  最大低下量：150000kW  最低低下量：  79167kW,2025/10/08 18:05,removed,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:30,09/10/2025 18:30
北陸,北陸電力株式会社,52315,北陸電力 富山新港火力発電所,火力（石炭）,石炭1号機,250000,計画停止,停止・その他,,2025/10/11 02:00,あり,2025/10/14,GHG排出量抑制,2025/10/08 17:52,removed,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:30,09/10/2025 18:30
東京,株式会社JERA,328RV,姉崎火力発電所,火力（ガス）,姉崎新２号,646900,出力低下,低下・送電線等制約,237000,2025/10/12 22:00,あり,2025/10/17,系統作業  平均低下量：237000kW  最大低下量：293000kW  最小低下量：5000kW,2025/10/08 10:48,removed,outages_20251009_173031.csv,outages_20251009_183028.csv,09/10/2025 17:30,09/10/2025 18:30
