エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東北,酒田共同火力発電株式会社,528522M101,酒田共同火力発電所,火力（石炭）,２号機,350000,出力低下,低下・その他,190000,2025/10/08 20:00,あり,2025/11/30,非効率石炭火力制約  （最大低下量230000kW、最小低下量0kW）,2025/10/27 16:07,added,outages_20251027_153034.csv,outages_20251027_163038.csv,27/10/2025 16:07,27/10/2025 16:30
東北,酒田共同火力発電株式会社,528522M101,酒田共同火力発電所,火力（石炭）,１号機,350000,出力低下,低下・その他,170000,2025/11/25 09:00,あり,2025/11/30,非効率石炭火力制約  （最大低下量310000kW、最小低下量0kW）,2025/10/27 16:03,added,outages_20251027_153034.csv,outages_20251027_163038.csv,27/10/2025 16:03,27/10/2025 16:30
東北,酒田共同火力発電株式会社,528522M101,酒田共同火力発電所,火力（石炭）,１号機,350000,計画停止,停止・その他,,2025/11/04 23:00,あり,2025/11/25,非効率石炭火力制約,2025/10/27 15:57,added,outages_20251027_153034.csv,outages_20251027_163038.csv,27/10/2025 15:57,27/10/2025 16:30
東北,酒田共同火力発電株式会社,528522M101,酒田共同火力発電所,火力（石炭）,２号機,350000,出力低下,低下・その他,190000,2025/10/08 20:00,あり,2025/10/31,非効率石炭火力制約  （最大低下量230000kW、最小低下量0kW）,2025/10/03 17:03,removed,outages_20251027_153034.csv,outages_20251027_163038.csv,27/10/2025 15:30,27/10/2025 16:30
