エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
関西,泉北天然ガス発電株式会社,62F60,泉北天然ガス第二発電所,火力（ガス）,２号機,277000,計画停止,停止・設備故障,,2025/10/31 00:30,あり,2025/11/01,GT付帯設備,2025/10/30 09:23,added,outages_20251030_083033.csv,outages_20251030_093031.csv,30/10/2025 09:23,30/10/2025 09:30
東京,株式会社JERA,34083,品川火力発電所,火力（ガス）,品川１−２号,380000,出力低下,低下・送電線等制約,116000,2025/10/30 05:00,あり,2025/10/31,系統制約  平均	116000	kW  最大	167000	kW  最小	65000	kW,2025/10/28 23:25,removed,outages_20251030_083033.csv,outages_20251030_093031.csv,30/10/2025 08:30,30/10/2025 09:30
東京,株式会社JERA,34082,品川火力発電所,火力（ガス）,品川１−１号,380000,出力低下,低下・送電線等制約,116000,2025/10/30 05:00,あり,2025/10/31,系統制約  平均	116000	kW  最大	167000	kW  最小	65000	kW,2025/10/28 23:23,removed,outages_20251030_083033.csv,outages_20251030_093031.csv,30/10/2025 08:30,30/10/2025 09:30
