エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,5号機,300000,出力低下,低下・燃料制約,190000,2026/08/31 05:00,あり,2026/09/02,抑制最大量：225000kW 抑制最小量：150000kW,2026/08/24 14:42,added,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 14:42,24/08/2026 14:45
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画停止,停止・燃料制約,,2026/08/31 06:00,あり,2026/09/02,燃料制約,2026/08/24 14:39,added,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 14:39,24/08/2026 14:45
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−３号,198000,計画停止,停止・定期検査等,,2026/05/07 00:55,あり,2026/09/24,定期点検,2026/08/24 14:30,added,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 14:30,24/08/2026 14:45
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−３号,198000,出力低下,低下・その他,154771,2026/09/24 11:10,あり,2026/09/28,定期点検試運転 最大低下量：198000kW 最小低下量：0kW,2026/08/24 14:28,added,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 14:28,24/08/2026 14:45
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−３号,198000,出力低下,低下・その他,1,2026/08/07 11:10,あり,2026/08/07,削除,2026/08/24 14:25,added,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 14:25,24/08/2026 14:45
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−３号,198000,出力低下,低下・その他,1,2026/08/07 11:10,あり,2026/08/07,削除,2026/08/19 17:04,removed,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 13:59,24/08/2026 14:45
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,5号機,300000,出力低下,低下・燃料制約,190000,2026/08/25 05:00,あり,2026/08/27,抑制最大量：225000 抑制最小量：150000,2026/08/03 17:55,removed,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 13:59,24/08/2026 14:45
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画停止,停止・燃料制約,,2026/08/25 06:00,あり,2026/08/27,燃料制約,2026/08/03 17:53,removed,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 13:59,24/08/2026 14:45
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−３号,198000,計画停止,停止・定期検査等,,2026/05/07 00:55,なし,,定期点検 ※機器不調に伴い工期変更,2026/07/23 15:21,removed,outages_20260824_135958.csv,outages_20260824_144517.csv,24/08/2026 13:59,24/08/2026 14:45
