エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・設備故障,250000,2026/03/19 16:00,あり,2026/03/25,設備故障,2026/03/25 11:38,added,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 11:38,25/03/2026 11:50
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,1号機,1000000,出力低下,低下・その他,500000,2026/04/06 00:00,あり,2026/04/07,AH水洗　当社管理番号：TTA-26-006　最大抑制量：500000kW　最小抑制量：500000kW,2026/03/25 11:14,added,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 11:14,25/03/2026 11:50
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,1号機,1000000,出力低下,低下・設備故障,500000,2026/04/05 00:00,あり,2026/04/05,設備不具合　当社管理番号：TTA-26-147　最大抑制量：500000kW　最小抑制量：500000kW,2026/03/25 11:12,added,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 11:12,25/03/2026 11:50
沖縄,沖縄電力株式会社,05001,牧港9号,火力（石油）,9号機,125000,計画停止,停止・定期検査等,,2026/03/11 00:00,あり,2026/08/11,定検,2026/03/25 11:02,added,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 11:02,25/03/2026 11:50
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,1号機,225000,計画停止,停止・定期検査等,,2026/04/01 09:00,あり,2028/04/09,点検作業　当社管理番号：TZB-26-045,2026/03/25 10:51,added,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 10:51,25/03/2026 11:50
中部,電源開発,48001,電源開発新豊根発電所（中部）,水力,5号機,225000,計画停止,停止・定期検査等,,2026/04/01 09:00,あり,2028/04/09,点検作業　当社管理番号：TZB-26-045,2026/03/25 10:50,added,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 10:50,25/03/2026 11:50
中国,中国電力株式会社,7B291,三隅発電所第２号機,火力（石炭）,２号機,1000000,出力低下,低下・設備故障,250000,2026/03/19 16:00,なし,,設備故障,2026/03/19 18:16,removed,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 10:43,25/03/2026 11:50
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,1号機,1000000,出力低下,低下・その他,500000,2026/04/05 00:00,あり,2026/04/06,AH水洗　当社管理番号：TTA-26-006　最大抑制量：500000kW　最小抑制量：500000kW,2026/03/19 11:33,removed,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 10:43,25/03/2026 11:50
九州,電源開発,950AB,電源開発松浦火力発電所,火力（石炭）,1号機,1000000,出力低下,低下・設備故障,500000,2026/04/04 00:00,あり,2026/04/04,設備不具合　当社管理番号：TTA-26-147　最大抑制量：500000kW　最小抑制量：500000kW,2026/03/19 11:33,removed,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 10:43,25/03/2026 11:50
沖縄,沖縄電力株式会社,05001,牧港9号,火力（石油）,9号機,125000,計画停止,停止・定期検査等,,2026/03/11 00:00,あり,2026/06/10,定検,2026/03/06 09:34,removed,outages_20260325_104342.csv,outages_20260325_115039.csv,25/03/2026 10:43,25/03/2026 11:50
