エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社扇島パワー,6149331758,扇島パワー,火力（ガス）,１,407100,計画外停止,停止・設備故障,,2026/03/14 16:01,なし,,・GT燃焼異常トリップ,2026/03/14 16:07,added,outages_20260314_155253.csv,outages_20260314_161405.csv,14/03/2026 16:07,14/03/2026 16:14
東京,株式会社JERA,34090,広野火力発電所,火力（石炭）,広野６号,600000,計画停止,停止・燃料制約,,2026/03/15 02:30,なし,,燃料制約による停止,2026/03/14 16:04,added,outages_20260314_155253.csv,outages_20260314_161405.csv,14/03/2026 16:04,14/03/2026 16:14
東京,株式会社JERA,34089,広野火力発電所,火力（石炭）,広野５号,600000,出力低下,低下・燃料制約,420000,2026/03/15 02:30,なし,,燃料制約による出力制限,2026/03/14 16:03,added,outages_20260314_155253.csv,outages_20260314_161405.csv,14/03/2026 16:03,14/03/2026 16:14
