エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
九州,九州電力株式会社,98037,小丸川発電所,水力,４号機,300000,計画停止,停止・定期検査等,,2026/04/15 09:00,あり,2026/04/15,日常点検,2026/03/19 17:49,added,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:49,19/03/2026 17:51
九州,九州電力株式会社,98037,小丸川発電所,水力,３号機,300000,計画停止,停止・定期検査等,,2026/04/15 09:00,あり,2026/04/15,日常点検,2026/03/19 17:47,added,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:47,19/03/2026 17:51
九州,九州電力株式会社,98037,小丸川発電所,水力,２号機,300000,計画停止,停止・定期検査等,,2026/04/08 09:00,あり,2026/04/08,日常点検,2026/03/19 17:39,added,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:39,19/03/2026 17:51
九州,九州電力株式会社,98037,小丸川発電所,水力,１号機,300000,計画停止,停止・定期検査等,,2026/04/08 09:00,あり,2026/04/08,日常点検,2026/03/19 17:33,added,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:33,19/03/2026 17:51
九州,九州電力株式会社,95012,天山発電所,水力,２号機,300000,計画停止,停止・定期検査等,,2026/04/16 13:00,あり,2026/04/16,日常点検,2026/03/19 17:31,added,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:31,19/03/2026 17:51
九州,九州電力株式会社,95012,天山発電所,水力,１号機,300000,計画停止,停止・定期検査等,,2026/04/16 09:00,あり,2026/04/16,日常点検,2026/03/19 17:28,added,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:28,19/03/2026 17:51
関西,電源開発,62D30,電源開発池原発電所（関西）,水力,3号機,103000,計画停止,停止・定期検査等,,2026/03/25 09:00,あり,2026/03/25,点検作業　当社管理番号：TNI-25-053,2026/02/20 09:16,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
関西,電源開発,62D30,電源開発池原発電所（関西）,水力,3号機,103000,計画停止,停止・定期検査等,,2026/03/24 09:00,あり,2026/03/24,点検作業　当社管理番号：TNI-25-053,2026/02/20 09:16,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
関西,電源開発,62D30,電源開発池原発電所（関西）,水力,3号機,103000,計画停止,停止・定期検査等,,2026/03/23 09:00,あり,2026/03/23,点検作業　当社管理番号：TNI-25-053,2026/02/20 09:16,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
関西,電源開発,62D30,電源開発池原発電所（関西）,水力,3号機,103000,計画停止,停止・定期検査等,,2026/03/22 09:00,あり,2026/03/22,点検作業　当社管理番号：TNI-25-053,2026/02/20 09:16,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
関西,電源開発,62D30,電源開発池原発電所（関西）,水力,3号機,103000,計画停止,停止・定期検査等,,2026/03/21 09:00,あり,2026/03/21,点検作業　当社管理番号：TNI-25-053,2026/02/20 09:16,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
関西,電源開発,62D30,電源開発池原発電所（関西）,水力,3号機,103000,計画停止,停止・定期検査等,,2026/03/20 09:00,あり,2026/03/20,点検作業　当社管理番号：TNI-25-053,2026/02/20 09:16,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
九州,九州電力株式会社,98037,小丸川発電所,水力,１号機,300000,計画停止,停止・定期検査等,,2026/04/08 09:00,あり,2026/04/08,日常点検,2026/01/28 16:08,removed,outages_20260319_172712.csv,outages_20260319_175115.csv,19/03/2026 17:27,19/03/2026 17:51
