エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画停止,停止・定期検査等,,2025/05/16 05:00,あり,2025/06/28,定期点検,2025/06/25 18:21,added,outages_20250625_180048.csv,outages_20250625_183027.csv,25/06/2025 18:21,25/06/2025 18:30
中国,電源開発,75202,電源開発竹原火力発電所３号機,火力（石炭）,3号機,700000,出力低下,低下・設備故障,75500,2025/06/14 10:47,あり,2025/07/12,ミル不具合に伴う出力制約  最大：140000kW  最小：  11000kW  当社管理番号：当直間,2025/06/25 18:14,added,outages_20250625_180048.csv,outages_20250625_183027.csv,25/06/2025 18:14,25/06/2025 18:30
中国,電源開発,75202,電源開発竹原火力発電所３号機,火力（石炭）,3号機,700000,出力低下,低下・設備故障,75500,2025/06/14 10:47,なし,,ミル不具合に伴う出力制約  最大：140000kW  最小：  11000kW  当社管理番号：当直間,2025/06/20 18:15,removed,outages_20250625_180048.csv,outages_20250625_183027.csv,25/06/2025 18:00,25/06/2025 18:30
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画停止,停止・定期検査等,,2025/05/16 05:00,あり,2025/06/30,定期点検,2025/04/25 13:50,removed,outages_20250625_180048.csv,outages_20250625_183027.csv,25/06/2025 18:00,25/06/2025 18:30
