エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
中国,エネルギア・パワー山口株式会社,72203,防府バイオマス発電所,火力（石炭）,1号機,112000,出力低下,低下・設備故障,20000,2025/07/04 09:00,あり,2025/07/04,バグフィルターダイアフラム弁取替,2025/07/01 09:49,added,outages_20250701_093033.csv,outages_20250701_100049.csv,01/07/2025 09:49,01/07/2025 10:00
関西,関西電力株式会社,68C45,姫路第二発電所,火力（ガス）,５号機,486500,出力低下,低下・設備故障,186000,2025/07/03 09:00,あり,2025/07/03,発電機作業  最大低下量：316000kW  最小低下量：101000kW,2025/07/01 09:39,added,outages_20250701_093033.csv,outages_20250701_100049.csv,01/07/2025 09:39,01/07/2025 10:00
関西,関西電力株式会社,68C45,姫路第二発電所,火力（ガス）,５号機,486500,出力低下,低下・設備故障,191000,2025/07/03 09:00,あり,2025/07/03,発電機作業  最大低下量：316000kW  最小低下量：170000kW,2025/06/27 15:38,removed,outages_20250701_093033.csv,outages_20250701_100049.csv,01/07/2025 09:30,01/07/2025 10:00
