エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
関西,関西電力株式会社,65C00,奥吉野発電所,水力,６号機,201000,計画停止,停止・設備故障,,9999/10/02 09:00,あり,9999/10/02,発電機作業,2025/07/28 14:25,added,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 14:25,28/07/2025 14:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,１号機,201000,計画停止,停止・設備故障,,9999/10/01 09:00,あり,9999/10/01,発電機作業,2025/07/28 14:23,added,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 14:23,28/07/2025 14:30
東京,株式会社JERA,34076,鹿島火力発電所,火力（ガス）,鹿島７−１号,420000,計画停止,停止・設備故障,,2025/08/03 07:00,あり,2025/08/03,ガスタービン関連設備,2025/07/28 14:09,added,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 14:09,28/07/2025 14:30
関西,関西電力株式会社,68J46,姫路第一発電所,火力（ガス）,６号機,713000,出力低下,低下・設備故障,423000,2025/08/17 04:00,あり,2025/08/17,発電機作業  最大低下量：423000(kW)  最小低下量：423000(kW),2025/07/28 13:52,added,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 13:52,28/07/2025 14:30
関西,関西電力株式会社,68J45,姫路第一発電所,火力（ガス）,５号機,729000,出力低下,低下・設備故障,439000,2025/08/02 04:00,あり,2025/08/02,発電機作業  最大低下量：439000(kW)  最小低下量：439000(kW),2025/07/28 13:47,added,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 13:47,28/07/2025 14:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,６号機,201000,計画停止,停止・設備故障,,2025/10/02 09:00,あり,2025/10/02,発電機作業,2025/02/07 16:42,removed,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 13:30,28/07/2025 14:30
関西,関西電力株式会社,68J46,姫路第一発電所,火力（ガス）,６号機,713000,出力低下,低下・設備故障,423000,2025/08/17 00:00,あり,2025/08/17,発電機作業  最大低下量：423000(kW)  最小低下量：423000(kW),2025/02/04 11:48,removed,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 13:30,28/07/2025 14:30
関西,関西電力株式会社,68J45,姫路第一発電所,火力（ガス）,５号機,729000,出力低下,低下・設備故障,439000,2025/08/02 00:00,あり,2025/08/02,発電機作業  最大低下量：439000(kW)  最小低下量：439000(kW),2025/02/04 11:44,removed,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 13:30,28/07/2025 14:30
関西,関西電力株式会社,65C00,奥吉野発電所,水力,１号機,201000,計画停止,停止・設備故障,,2025/10/01 09:00,あり,2025/10/01,発電機作業,2024/03/04 21:39,removed,outages_20250728_133030.csv,outages_20250728_143031.csv,28/07/2025 13:30,28/07/2025 14:30
