エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,勿来ＩＧＣＣパワー合同会社,327U5,勿来ＩＧＣＣ発電所,火力（石炭）,単独,525000,出力低下,低下・その他,107000,2025/07/26 00:00,あり,2025/07/27,確認試験  最大低下量：252000ｋW  最小低下量：0ｋW,2025/07/22 17:51,added,outages_20250722_173029.csv,outages_20250722_180005.csv,22/07/2025 17:51,22/07/2025 18:00
東京,勿来ＩＧＣＣパワー合同会社,327U5,勿来ＩＧＣＣ発電所,火力（石炭）,単独,525000,計画停止,停止・定期検査等,,2025/05/10 00:00,あり,2025/07/25,５年目点検,2025/07/22 17:44,added,outages_20250722_173029.csv,outages_20250722_180005.csv,22/07/2025 17:44,22/07/2025 18:00
中国,電源開発,75202,電源開発竹原火力発電所新１号機,火力（石炭）,1号機,600000,計画停止,停止・設備故障,,2025/07/18 18:25,あり,2025/07/26,発電機トラブル  当社管理番号：当直間発行,2025/07/22 17:34,added,outages_20250722_173029.csv,outages_20250722_180005.csv,22/07/2025 17:34,22/07/2025 18:00
東京,勿来ＩＧＣＣパワー合同会社,327U5,勿来ＩＧＣＣ発電所,火力（石炭）,単独,525000,計画停止,停止・定期検査等,,2025/05/10 00:00,なし,,５年目点検,2025/07/19 12:01,removed,outages_20250722_173029.csv,outages_20250722_180005.csv,22/07/2025 17:30,22/07/2025 18:00
中国,電源開発,75202,電源開発竹原火力発電所新１号機,火力（石炭）,1号機,600000,計画停止,停止・設備故障,,2025/07/18 18:25,なし,,発電機トラブル  当社管理番号：当直間発行,2025/07/18 11:30,removed,outages_20250722_173029.csv,outages_20250722_180005.csv,22/07/2025 17:30,22/07/2025 18:00
