エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,34038,富津火力発電所,火力（ガス）,富津２−４号,162000,計画停止,停止・定期検査等,,2025/04/15 00:00,あり,2025/07/04,定検,2025/07/03 17:18,added,outages_20250703_170045.csv,outages_20250703_173030.csv,03/07/2025 17:18,03/07/2025 17:30
東京,常磐共同火力株式会社,6066332492,勿来発電所,火力（石炭）,勿来9号機（東京系）,600000,計画停止,停止・設備故障,,2025/05/13 09:00,あり,2025/07/11,ボイラー設備不具合,2025/07/03 17:16,added,outages_20250703_170045.csv,outages_20250703_173030.csv,03/07/2025 17:16,03/07/2025 17:30
東京,株式会社JERA,34038,富津火力発電所,火力（ガス）,富津２−４号,162000,計画停止,停止・定期検査等,,2025/04/15 00:00,なし,,定検,2025/07/03 13:50,removed,outages_20250703_170045.csv,outages_20250703_173030.csv,03/07/2025 17:00,03/07/2025 17:30
東京,常磐共同火力株式会社,6066332492,勿来発電所,火力（石炭）,勿来9号機（東京系）,600000,計画停止,停止・設備故障,,2025/05/13 09:00,あり,2025/07/11,ボイラー設備不具合,2025/06/25 10:00,removed,outages_20250703_170045.csv,outages_20250703_173030.csv,03/07/2025 17:00,03/07/2025 17:30
