エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
東京,株式会社JERA,34026,袖ケ浦火力発電所,火力（ガス）,袖ケ浦３号,1000000,計画停止,停止・設備故障,,2025/06/29 12:20,あり,2025/07/05,ボイラ関連設備,2025/07/05 10:49,added,outages_20250705_103031.csv,outages_20250705_113031.csv,05/07/2025 10:49,05/07/2025 11:30
関西,関西電力株式会社,68E00,奥多々良木発電所,水力,１号機,303000,計画停止,停止・設備故障,,2025/07/05 10:10,あり,2025/07/05,発電機作業のため,2025/07/05 10:43,added,outages_20250705_103031.csv,outages_20250705_113031.csv,05/07/2025 10:43,05/07/2025 11:30
東京,株式会社JERA,34026,袖ケ浦火力発電所,火力（ガス）,袖ケ浦３号,1000000,計画停止,停止・設備故障,,2025/06/29 12:20,あり,2025/07/06,ボイラ関連設備,2025/07/03 20:53,removed,outages_20250705_103031.csv,outages_20250705_113031.csv,05/07/2025 10:30,05/07/2025 11:30
