エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
中部,中部電力(株),45002,奥矢作第二発電所,水力,１号機,260000,出力低下,低下・その他,100000,2025/07/29 00:00,あり,2025/07/29,最大低下量：260000kW  最低低下量：0kW  平均低下量：100000kW,2025/07/28 16:28,added,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 16:28,28/07/2025 16:30
中部,中部電力(株),45002,奥矢作第二発電所,水力,２号機,260000,出力低下,低下・その他,100000,2025/07/29 00:00,あり,2025/07/29,最大低下量：260000kW  最低低下量：0kW  平均低下量：100000kW,2025/07/28 16:27,added,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 16:27,28/07/2025 16:30
北陸,北陸電力株式会社,52316,北陸電力 富山新港火力発電所,火力（石炭）,石炭2号機,250000,計画停止,停止・定期検査等,,9999/08/08 20:00,あり,9999/08/11,削除,2025/07/28 15:48,added,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:48,28/07/2025 16:30
関西,関西電力株式会社,67C43,御坊発電所,火力（石油）,３号機,600000,計画停止,停止・設備故障,,2025/10/01 00:00,あり,2025/12/12,発電機作業,2025/07/28 15:36,added,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:36,28/07/2025 16:30
東京,川崎天然ガス発電,61203,川崎天然ガス発電所,火力（ガス）,川天2号機,413000,計画外停止,停止・設備故障,,2025/07/26 12:29,あり,2025/07/30,サイリスタ不具合,2025/07/28 15:34,added,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:34,28/07/2025 16:30
東京,株式会社JERA,34065,南横浜火力発電所,火力（ガス）,南横浜１号,350000,出力低下,低下・送電線等制約,168361,2025/07/16 15:00,あり,2025/07/27,系統制約  平均低下量：168361kW  最大低下量：235599kW  最低低下量：133077kW,2025/07/28 15:30,added,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:30,28/07/2025 16:30
中部,中部電力(株),45002,奥矢作第二発電所,水力,２号機,260000,出力低下,低下・その他,104000,2025/07/29 00:00,あり,2025/07/29,最大低下量：260000kW  最低低下量：0kW  平均低下量：104000kW,2025/07/28 06:50,removed,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:30,28/07/2025 16:30
中部,中部電力(株),45002,奥矢作第二発電所,水力,１号機,260000,出力低下,低下・その他,104000,2025/07/29 00:00,あり,2025/07/29,最大低下量：260000kW  最低低下量：0kW  平均低下量：104000kW,2025/07/28 06:48,removed,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:30,28/07/2025 16:30
東京,川崎天然ガス発電,61203,川崎天然ガス発電所,火力（ガス）,川天2号機,413000,計画外停止,停止・設備故障,,2025/07/26 12:29,なし,,調査中,2025/07/26 12:44,removed,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:30,28/07/2025 16:30
東京,株式会社JERA,34065,南横浜火力発電所,火力（ガス）,南横浜１号,350000,出力低下,低下・送電線等制約,168596,2025/07/16 15:00,あり,2025/07/31,系統制約  平均低下量：168596kW  最大低下量：235599kW  最低低下量：133077kW,2025/07/17 09:07,removed,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:30,28/07/2025 16:30
北陸,北陸電力株式会社,52316,北陸電力 富山新港火力発電所,火力（石炭）,石炭2号機,250000,計画停止,停止・定期検査等,,2025/08/08 20:00,あり,2025/08/11,AH水洗,2025/03/11 17:21,removed,outages_20250728_153029.csv,outages_20250728_163032.csv,28/07/2025 15:30,28/07/2025 16:30
