エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
中部,株式会社JERA,42393,西名古屋火力発電所,火力（ガス）,西名古屋７−２号,1188200,出力低下,低下・その他,575000,2026/05/15 20:50,なし,,クラゲ襲来,2026/05/15 21:08,added,outages_20260515_203126.csv,outages_20260515_211706.csv,15/05/2026 21:08,15/05/2026 21:17
中部,株式会社JERA,42389,西名古屋火力発電所,火力（ガス）,西名古屋７−１号,1188200,出力低下,低下・その他,384000,2026/05/15 20:47,なし,,クラゲ襲来,2026/05/15 21:07,added,outages_20260515_203126.csv,outages_20260515_211706.csv,15/05/2026 21:07,15/05/2026 21:17
東京,株式会社JERA,34090,広野火力発電所,火力（石炭）,広野６号,600000,出力低下,低下・設備故障,200000,2026/05/19 03:00,あり,2026/05/19,燃料関連設備,2026/05/15 20:34,added,outages_20260515_203126.csv,outages_20260515_211706.csv,15/05/2026 20:34,15/05/2026 21:17
東京,株式会社JERA,34089,広野火力発電所,火力（石炭）,広野５号,600000,出力低下,低下・設備故障,200000,2026/05/19 03:00,あり,2026/05/19,燃料関連設備,2026/05/15 20:33,added,outages_20260515_203126.csv,outages_20260515_211706.csv,15/05/2026 20:33,15/05/2026 21:17
